mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
x,y,z,,,,
1,1,1,total,flux,0.0,0.0
1,1,1,total,"(n,Xt)",0.0,0.0
1,1,1,total,heating-local,0.0,0.0
1,1,1,total,absorption,0.0,0.0
2,1,1,total,flux,0.0,0.0
2,1,1,total,"(n,Xt)",0.0,0.0
2,1,1,total,heating-local,0.0,0.0
2,1,1,total,absorption,0.0,0.0
3,1,1,total,flux,0.0,0.0
3,1,1,total,"(n,Xt)",0.0,0.0
3,1,1,total,heating-local,0.0,0.0
3,1,1,total,absorption,0.0,0.0
4,1,1,total,flux,0.0,0.0
4,1,1,total,"(n,Xt)",0.0,0.0
4,1,1,total,heating-local,0.0,0.0
4,1,1,total,absorption,0.0,0.0
5,1,1,total,flux,0.0,0.0
5,1,1,total,"(n,Xt)",0.0,0.0
5,1,1,total,heating-local,0.0,0.0
5,1,1,total,absorption,0.0,0.0
6,1,1,total,flux,0.0,0.0
6,1,1,total,"(n,Xt)",0.0,0.0
6,1,1,total,heating-local,0.0,0.0
6,1,1,total,absorption,0.0,0.0
7,1,1,total,flux,0.0,0.0
7,1,1,total,"(n,Xt)",0.0,0.0
7,1,1,total,heating-local,0.0,0.0
7,1,1,total,absorption,0.0,0.0
8,1,1,total,flux,0.0,0.0
8,1,1,total,"(n,Xt)",0.0,0.0
8,1,1,total,heating-local,0.0,0.0
8,1,1,total,absorption,0.0,0.0
9,1,1,total,flux,0.0,0.0
9,1,1,total,"(n,Xt)",0.0,0.0
9,1,1,total,heating-local,0.0,0.0
9,1,1,total,absorption,0.0,0.0
10,1,1,total,flux,0.0,0.0
10,1,1,total,"(n,Xt)",0.0,0.0
10,1,1,total,heating-local,0.0,0.0
10,1,1,total,absorption,0.0,0.0
11,1,1,total,flux,0.0,0.0
11,1,1,total,"(n,Xt)",0.0,0.0
11,1,1,total,heating-local,0.0,0.0
11,1,1,total,absorption,0.0,0.0
12,1,1,total,flux,0.0,0.0
12,1,1,total,"(n,Xt)",0.0,0.0
12,1,1,total,heating-local,0.0,0.0
12,1,1,total,absorption,0.0,0.0
13,1,1,total,flux,0.0,0.0
13,1,1,total,"(n,Xt)",0.0,0.0
13,1,1,total,heating-local,0.0,0.0
13,1,1,total,absorption,0.0,0.0
14,1,1,total,flux,0.0,0.0
14,1,1,total,"(n,Xt)",0.0,0.0
14,1,1,total,heating-local,0.0,0.0
14,1,1,total,absorption,0.0,0.0
15,1,1,total,flux,0.0,0.0
15,1,1,total,"(n,Xt)",0.0,0.0
15,1,1,total,heating-local,0.0,0.0
15,1,1,total,absorption,0.0,0.0
16,1,1,total,flux,0.0,0.0
16,1,1,total,"(n,Xt)",0.0,0.0
16,1,1,total,heating-local,0.0,0.0
16,1,1,total,absorption,0.0,0.0
17,1,1,total,flux,5.847593665961383e-07,5.847593665961383e-07
17,1,1,total,"(n,Xt)",0.0,0.0
17,1,1,total,heating-local,0.0,0.0
17,1,1,total,absorption,2.059393977013691e-08,2.0593939770136907e-08
18,1,1,total,flux,1.3342092106729522e-06,1.3342092106729525e-06
18,1,1,total,"(n,Xt)",0.0,0.0
18,1,1,total,heating-local,0.0,0.0
18,1,1,total,absorption,4.6987916218086516e-08,4.6987916218086516e-08
19,1,1,total,flux,1.2829087489240363e-06,1.2829087489240363e-06
19,1,1,total,"(n,Xt)",0.0,0.0
19,1,1,total,heating-local,0.0,0.0
19,1,1,total,absorption,4.518122669793892e-08,4.518122669793892e-08
20,1,1,total,flux,1.2436840776898349e-06,1.2436840776898349e-06
20,1,1,total,"(n,Xt)",0.0,0.0
20,1,1,total,heating-local,0.0,0.0
20,1,1,total,absorption,4.379981998084316e-08,4.379981998084316e-08
21,1,1,total,flux,6.883952118431224e-07,6.883952118431224e-07
21,1,1,total,"(n,Xt)",0.0,0.0
21,1,1,total,heating-local,0.0,0.0
21,1,1,total,absorption,2.4243766479997286e-08,2.4243766479997282e-08
22,1,1,total,flux,0.0,0.0
22,1,1,total,"(n,Xt)",0.0,0.0
22,1,1,total,heating-local,0.0,0.0
22,1,1,total,absorption,0.0,0.0
23,1,1,total,flux,0.0,0.0
23,1,1,total,"(n,Xt)",0.0,0.0
23,1,1,total,heating-local,0.0,0.0
23,1,1,total,absorption,0.0,0.0
24,1,1,total,flux,0.0,0.0
24,1,1,total,"(n,Xt)",0.0,0.0
24,1,1,total,heating-local,0.0,0.0
24,1,1,total,absorption,0.0,0.0
25,1,1,total,flux,0.0,0.0
25,1,1,total,"(n,Xt)",0.0,0.0
25,1,1,total,heating-local,0.0,0.0
25,1,1,total,absorption,0.0,0.0
26,1,1,total,flux,0.0,0.0
26,1,1,total,"(n,Xt)",0.0,0.0
26,1,1,total,heating-local,0.0,0.0
26,1,1,total,absorption,0.0,0.0
27,1,1,total,flux,0.0,0.0
27,1,1,total,"(n,Xt)",0.0,0.0
27,1,1,total,heating-local,0.0,0.0
27,1,1,total,absorption,0.0,0.0
28,1,1,total,flux,0.0,0.0
28,1,1,total,"(n,Xt)",0.0,0.0
28,1,1,total,heating-local,0.0,0.0
28,1,1,total,absorption,0.0,0.0
29,1,1,total,flux,0.0,0.0
29,1,1,total,"(n,Xt)",0.0,0.0
29,1,1,total,heating-local,0.0,0.0
29,1,1,total,absorption,0.0,0.0
30,1,1,total,flux,9.531902470851961e-07,9.531902470851961e-07
30,1,1,total,"(n,Xt)",0.0,0.0
30,1,1,total,heating-local,0.0,0.0
30,1,1,total,absorption,7.942821915822963e-08,7.942821915822963e-08
31,1,1,total,flux,1.171998985461826e-06,1.1719989854618259e-06
31,1,1,total,"(n,Xt)",0.0,0.0
31,1,1,total,heating-local,0.0,0.0
31,1,1,total,absorption,9.766129327817636e-08,9.766129327817636e-08
32,1,1,total,flux,1.160043423974116e-06,1.160043423974116e-06
32,1,1,total,"(n,Xt)",0.0,0.0
32,1,1,total,heating-local,0.0,0.0
32,1,1,total,absorption,9.666505043902712e-08,9.666505043902712e-08
33,1,1,total,flux,1.1494867645220095e-06,1.1494867645220097e-06
33,1,1,total,"(n,Xt)",0.0,0.0
33,1,1,total,heating-local,0.0,0.0
33,1,1,total,absorption,9.578537645672948e-08,9.578537645672948e-08
34,1,1,total,flux,1.1401088925982492e-06,1.1401088925982492e-06
34,1,1,total,"(n,Xt)",0.0,0.0
34,1,1,total,heating-local,0.0,0.0
34,1,1,total,absorption,9.500392944898259e-08,9.500392944898259e-08
35,1,1,total,flux,1.1317329197100959e-06,1.1317329197100959e-06
35,1,1,total,"(n,Xt)",0.0,0.0
35,1,1,total,heating-local,0.0,0.0
35,1,1,total,absorption,9.430596950629743e-08,9.430596950629743e-08
36,1,1,total,flux,1.1242150958145558e-06,1.1242150958145558e-06
36,1,1,total,"(n,Xt)",0.0,0.0
36,1,1,total,heating-local,0.0,0.0
36,1,1,total,absorption,9.36795181071209e-08,9.367951810712091e-08
37,1,1,total,flux,1.1174374248248709e-06,1.117437424824871e-06
37,1,1,total,"(n,Xt)",0.0,0.0
37,1,1,total,heating-local,0.0,0.0
37,1,1,total,absorption,9.31147427767005e-08,9.31147427767005e-08
38,1,1,total,flux,2.6607651790128126e-06,1.8036570854676563e-06
38,1,1,total,"(n,Xt)",0.0,0.0
38,1,1,total,heating-local,0.0,0.0
38,1,1,total,absorption,1.3710207009214019e-07,9.818255747044589e-08
39,1,1,total,flux,3.1426703271305376e-06,2.078596546816293e-06
39,1,1,total,"(n,Xt)",0.0,0.0
39,1,1,total,heating-local,0.0,0.0
39,1,1,total,absorption,1.4834926010705797e-07,1.0159989229860094e-07
40,1,1,total,flux,4.379040699416983e-06,2.298749135718999e-06
40,1,1,total,"(n,Xt)",0.0,0.0
40,1,1,total,heating-local,0.0,0.0
40,1,1,total,absorption,1.6069928657903814e-07,9.945044666292814e-08
41,1,1,total,flux,3.176551701485046e-06,1.7128377229125422e-06
41,1,1,total,"(n,Xt)",0.0,0.0
41,1,1,total,heating-local,0.0,0.0
41,1,1,total,absorption,1.2612823228605681e-07,9.043719134694097e-08
42,1,1,total,flux,2.1510705173675574e-06,1.516254931761646e-06
42,1,1,total,"(n,Xt)",0.0,0.0
42,1,1,total,heating-local,0.0,0.0
42,1,1,total,absorption,7.77152565842927e-08,6.23228481177648e-08
43,1,1,total,flux,1.3957640176323807e-06,1.3957640176323807e-06
43,1,1,total,"(n,Xt)",0.0,0.0
43,1,1,total,heating-local,0.0,0.0
43,1,1,total,absorption,1.5508597823382726e-08,1.5508597823382726e-08
44,1,1,total,flux,1.3865121486517823e-06,1.3865121486517823e-06
44,1,1,total,"(n,Xt)",0.0,0.0
44,1,1,total,heating-local,0.0,0.0
44,1,1,total,absorption,1.540579855837651e-08,1.540579855837651e-08
45,1,1,total,flux,1.3780411202366098e-06,1.3780411202366096e-06
45,1,1,total,"(n,Xt)",0.0,0.0
45,1,1,total,heating-local,0.0,0.0
45,1,1,total,absorption,1.5311675360485073e-08,1.5311675360485073e-08
46,1,1,total,flux,1.3702614407149768e-06,1.3702614407149768e-06
46,1,1,total,"(n,Xt)",0.0,0.0
46,1,1,total,heating-local,0.0,0.0
46,1,1,total,absorption,1.5225233870826623e-08,1.5225233870826623e-08
47,1,1,total,flux,1.363096558057116e-06,1.363096558057116e-06
47,1,1,total,"(n,Xt)",0.0,0.0
47,1,1,total,heating-local,0.0,0.0
47,1,1,total,absorption,1.5145623505328747e-08,1.5145623505328743e-08
48,1,1,total,flux,1.3564806117003841e-06,1.3564806117003841e-06
48,1,1,total,"(n,Xt)",0.0,0.0
48,1,1,total,heating-local,0.0,0.0
48,1,1,total,absorption,1.5072112474831146e-08,1.5072112474831146e-08
49,1,1,total,flux,2.3347794462023115e-06,1.5802362020088042e-06
49,1,1,total,"(n,Xt)",0.0,0.0
49,1,1,total,heating-local,0.0,0.0
49,1,1,total,absorption,4.416441914447491e-07,4.252345208296059e-07
50,1,1,total,flux,2.438975381201822e-06,1.6366578924645204e-06
50,1,1,total,"(n,Xt)",0.0,0.0
50,1,1,total,heating-local,0.0,0.0
50,1,1,total,absorption,4.892009756995511e-07,4.7283313261561726e-07
51,1,1,total,flux,2.4304360429187145e-06,1.630830229767735e-06
51,1,1,total,"(n,Xt)",0.0,0.0
51,1,1,total,heating-local,0.0,0.0
51,1,1,total,absorption,4.877307050936941e-07,4.714269373321589e-07
52,1,1,total,flux,2.4224724063410436e-06,1.625396732659879e-06
52,1,1,total,"(n,Xt)",0.0,0.0
52,1,1,total,heating-local,0.0,0.0
52,1,1,total,absorption,4.863573609431805e-07,4.7011328780370317e-07
53,1,1,total,flux,2.5041812024499243e-06,1.6079630545035299e-06
53,1,1,total,"(n,Xt)",0.0,0.0
53,1,1,total,heating-local,0.0,0.0
53,1,1,total,absorption,4.891341013061434e-07,4.68434503287405e-07
54,1,1,total,flux,3.5343601695016106e-06,1.8099442809028564e-06
54,1,1,total,"(n,Xt)",0.0,0.0
54,1,1,total,heating-local,0.0,0.0
54,1,1,total,absorption,5.351832449267868e-07,4.6463813230401803e-07
55,1,1,total,flux,3.5267625219178383e-06,1.8059158284363733e-06
55,1,1,total,"(n,Xt)",0.0,0.0
55,1,1,total,heating-local,0.0,0.0
55,1,1,total,absorption,5.340041320944302e-07,4.6356351507040363e-07
56,1,1,total,flux,2.9418097809366904e-06,1.5301642371144455e-06
56,1,1,total,"(n,Xt)",0.0,0.0
56,1,1,total,heating-local,0.0,0.0
56,1,1,total,absorption,5.264753957092193e-07,4.631934515423244e-07
57,1,1,total,flux,2.1986641613523828e-06,1.4662099129384123e-06
57,1,1,total,"(n,Xt)",0.0,0.0
57,1,1,total,heating-local,0.0,0.0
57,1,1,total,absorption,5.172491815625006e-07,4.6318678954496756e-07
58,1,1,total,flux,2.1956717312673177e-06,1.4642373600651177e-06
58,1,1,total,"(n,Xt)",0.0,0.0
58,1,1,total,heating-local,0.0,0.0
58,1,1,total,absorption,5.163024638496427e-07,4.6228674301790864e-07
59,1,1,total,flux,2.1928446988983125e-06,1.4623743058487078e-06
59,1,1,total,"(n,Xt)",0.0,0.0
59,1,1,total,heating-local,0.0,0.0
59,1,1,total,absorption,5.154088423590804e-07,4.6143730512050304e-07
60,1,1,total,flux,2.1901708620722076e-06,1.4606126283598352e-06
60,1,1,total,"(n,Xt)",0.0,0.0
60,1,1,total,heating-local,0.0,0.0
60,1,1,total,absorption,5.145643338977961e-07,4.606346682522569e-07
61,1,1,total,flux,2.187639143520492e-06,1.458944959224864e-06
61,1,1,total,"(n,Xt)",0.0,0.0
61,1,1,total,heating-local,0.0,0.0
61,1,1,total,absorption,5.137653291749121e-07,4.5987538333455127e-07
62,1,1,total,flux,2.18523946665875e-06,1.4573645998038275e-06
62,1,1,total,"(n,Xt)",0.0,0.0
62,1,1,total,heating-local,0.0,0.0
62,1,1,total,absorption,5.130085507324246e-07,4.591563193452773e-07
63,1,1,total,flux,2.1829626473173674e-06,1.4558654482190174e-06
63,1,1,total,"(n,Xt)",0.0,0.0
63,1,1,total,heating-local,0.0,0.0
